IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,Dorsal,Periodo,Tipo,Resultado,Zona,Left_pct,Top_pct
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),9,4,TIRO3,FALLADO,Z13-DE,68.92,79.53
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),4,4,TIRO3,FALLADO,Z11-DE,70.31,16.84
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),8,4,TIRO2,CONVERTIDO,Z1-DE,87.38,55.7
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),9,4,TIRO2,CONVERTIDO,Z1-DE,89.69,45.08
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z1-DE,86.31,61.66
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,13,4,TIRO2,CONVERTIDO,Z1-IZ,14.92,52.85
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,13,4,TIRO3,CONVERTIDO,Z11-IZ,30.62,79.79
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),11,4,TIRO3,CONVERTIDO,Z12-DE,61.54,55.96
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,13,4,TIRO3,CONVERTIDO,Z14-IZ,11.38,9.84
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),8,4,TIRO2,FALLADO,Z1-DE,89.38,43.01
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,9,4,TIRO2,CONVERTIDO,Z1-IZ,14.15,46.11
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),15,4,TIRO2,CONVERTIDO,Z1-DE,86.77,52.85
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,10,4,TIRO3,CONVERTIDO,Z12-IZ,38.0,47.67
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),True,,11,4,TIRO2,FALLADO,Z1-IZ,14.46,46.11
v27cjiCoMV9NgCBZFlxLvoIZAuTFJHmEDfGDjNQ54mVIXPeXGvVQ11yQ==,23/09/2025,,RACING (CH),False,RACING (CH),4,4,TIRO3,CONVERTIDO,Z11-DE,70.46,15.54
